ID,Name,Effect,Type,Kind,Power,Accuracy,Status Effect,Status Chance,Stat Change Effected,Stat Change Chance
2,Karate Chop,Has a high critical hit ratio.,Fighting,Physical,50,100%,,,,
5,Mega Punch,Deals damage with no additional effect.,Normal,Physical,80,85%,,,,
7,Fire Punch,Has a 10% chance to burn the target.,Fire,Status,75,100%,BURN,10%,,
8,Ice Punch,Has a 10% chance to freeze the target.,Ice,Status,75,100%,FREEZE,10%,,
9,ThunderPunch,Has a 10% chance to paralyze the target.,Electric,Status,75,100%,PARALYZE,10%,,
10,Scratch,Deals damage with no additional effect.,Normal,Physical,40,100%,,,,
11,ViceGrip,Deals damage with no additional effect.,Normal,Physical,55,100%,,,,
16,Gust,Power doubles if the target is in mid-air via Fly or Bounce.,Flying,Special,40,100%,,,,
17,Wing Attack,Deals damage with no additional effect.,Flying,Physical,60,100%,,,,
19,Fly,On the first turn the user flies into the air becoming uncontrollable and evades most attacks. Gust Twister Thunder and Sky Uppercut have normal accuracy against a mid-air Pokemon with Gust and Twister also gaining doubled power. The user may also be hit in mid-air if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user attacks.,Flying,Physical,90,95%,,,,
22,Vine Whip,Deals damage with no additional effect.,Grass,Physical,35,100%,,,,
23,Stomp,Has a 30% chance to make the target flinch; also retains its normal accuracy and gains doubled power against Minimized Pokemon.,Normal,Status,65,100%,FLINCH,30%,,
24,Double Kick,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit.,Fighting,Physical,30,100%,,,,
25,Mega Kick,Deals damage with no additional effect.,Normal,Physical,120,75%,,,,
28,Sand-Attack,Lowers the target's Accuracy by 1 stage.,Ground,acc-,0,100%,,,T,100%
29,Headbutt,Has a 30% chance to make the target flinch.,Normal,Status,70,100%,FLINCH,30%,,
30,Horn Attack,Deals damage with no additional effect.,Normal,Physical,65,100%,,,,
33,Tackle,Deals damage with no additional effect.,Normal,Physical,50,100%,,,,
34,Body Slam,Has a 30% chance to paralyze the target.,Normal,Status,85,100%,PARALYZE,30%,,
35,Wrap,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.,Normal,Physical,15,90%,,,,
36,Take Down,The user receives 1/4 recoil damage.,Normal,Physical,90,85%,,,,
38,Double-Edge,The user receives 1/3 recoil damage.,Normal,Physical,120,100%,,,,
40,Poison Sting,Has a 30% chance to poison the target.,Poison,Status,15,100%,POISON,30%,,
41,Twineedle,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit. Has a 20% chance to poison the target .,Bug,Status,25,100%,POISON,20%,,
42,Pin Missile,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Bug,Physical,14,85%,,,,
44,Bite,Has a 30% chance to make the target flinch.,Dark,Status,60,100%,FLINCH,30%,,
45,Growl,Lowers the target's Attack by 1 stage.,Normal,a-,0,100%,,,T,100%
51,Acid,Has a 10% chance to lower the target's Special Defense by 1 stage.,Poison,sd-,40,100%,,,T,10%
52,Ember,Has a 10% chance to burn the target.,Fire,Status,40,100%,BURN,10%,,
53,Flamethrower,Has a 10% chance to burn the target.,Fire,Status,95,100%,BURN,10%,,
55,Water Gun,Deals damage with no additional effect.,Water,Special,40,100%,,,,
56,Hydro Pump,Deals damage with no additional effect.,Water,Special,120,80%,,,,
57,Surf,Power doubles against a target who is in the middle of using Dive.,Water,Physical,95,100%,,,,
58,Ice Beam,Has a 10% chance to freeze the target.,Ice,Status,95,100%,FREEZE,10%,,
59,Blizzard,Has a 10% chance to freeze the target. During Hail this move will never miss under normal circumstances and has a 30% chance to hit through a target's Protect or Detect.,Ice,Status,120,70%,FREEZE,10%,,
60,Psybeam,Has a 10% chance to confuse the target.,Psychic,Status,65,100%,CONFUSE,10%,,
61,BubbleBeam,Has a 10% chance to lower the target's Speed by 1 stage.,Water,Special,65,100%,,,,
62,Aurora Beam,Has a 10% chance to lower the target's Attack by 1 stage.,Ice,Special,65,100%,,,,
63,Hyper Beam,The user recharges during its next turn; as a result until the end of the next turn the user becomes uncontrollable.,Normal,Special,150,90%,,,,
65,Drill Peck,Deals damage with no additional effect.,Flying,Physical,80,100%,,,,
66,Submission,The user receives 1/4 recoil damage.,Fighting,Physical,80,80%,,,,
70,Strength,Deals damage with no additional effect.,Normal,Physical,80,100%,,,,
73,Leech Seed,The user steals 1/8 of the target's max HP until the target is switched out is KO'ed or uses Rapid Spin; does not work against Grass-type Pokemon or Pokemon behind Substitutes.,Grass,hp+,0,90%,,,,
74,Growth,"Raises the user's Attack and Special Attack by 1 stage. If the weather is Sun Growth raises Attack and SpAttk two stages each. ",Normal,a+,0,,,,U,100%
75,Razor Leaf,Has a high critical hit ratio.,Grass,Physical,55,95%,,,,
76,SolarBeam,The user prepares on turn one becoming uncontrollable and then attacks on turn two. During Sunny Day this move fires immediately; during Rain Dance Sandstorm and Hail this move has half power.,Grass,Special,120,100%,,,,
77,PoisonPowder,Poisons the target.,Poison,Status,0,75%,POISON,100%,,
78,Stun Spore,Paralyzes the target.,Grass,Status,0,75%,PARALYZE,100%,,
79,Sleep Powder,Puts the target to sleep.,Grass,Status,0,75%,SLEEP,100%,,
80,Petal Dance,The user attacks uncontrollably for 2-3 turns and then gets confused.,Grass,Special,120,100%,,,,
81,String Shot,Lowers the target's Speed by 1 stage.,Bug,s-,0,95%,,,T,100%
85,Thunderbolt,Has a 10% chance to paralyze the target.,Electric,Status,95,100%,PARALYZE,10%,,
86,Thunder Wave,Paralyzes the target. This move activates Motor Drive.,Electric,Status,0,100%,PARALYZE,100%,,
87,Thunder,Has a 30% chance to paralyze the target. It also has normal accuracy against mid-air Pokemon who have used Fly or Bounce. During Sunny Day this move has 50% accuracy. During Rain Dance this move will never miss under normal circumstances and has a 30% chance to hit through a target's Protect or Detect.,Electric,Status,120,70%,PARALYZE,30%,,
88,Rock Throw,Deals damage with no additional effect.,Rock,Physical,50,90%,,,,
89,Earthquake,Power doubles when performed against Pokemon using Dig.,Ground,Physical,100,100%,,,,
91,Dig,On the first turn the user digs underground becoming uncontrollable and evades all attacks. Earthquake and Magnitude can hit underground and gain doubled power. The user may also be hit underground if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user attacks.,Ground,Physical,80,100%,,,,
93,Confusion,Has a 10% chance to confuse the target.,Psychic,Status,50,100%,CONFUSE,10%,,
94,Psychic,Has a 10% chance to lower the target's Special Defense by 1 stage.,Psychic,d-,90,100%,,,T,10%
98,Quick Attack,Usually goes first.,Normal,Physical,40,100%,,,,
106,Harden,Raises the user's Defense by 1 stage.,Normal,d+,0,,,,U,100%
108,SmokeScreen,Lowers the target's Accuracy by 1 stage.,Normal,acc-,0,100%,,,T,100%
111,Defense Curl,Raises the user's Defense by 1 stage; after one use of this move the user's starting base power is doubled for every use of Rollout or Ice Ball.,Normal,d+,0,,,,U,100%
115,Reflect,All Pokemon in the user's party receive 1/2 damage from Physical attacks for 5 turns. Reflect will be removed from the user's field if an opponent's Pokemon uses Brick Break. It will also last for eight turns if its user is holding Light Clay. In double battles both Pokemon are shielded but damage protection is reduced from 1/2 to 1/3.,Psychic,d+,0,,,,,
116,Focus Energy,Raises the user's chance for a Critical Hit by two domains.,Normal,a+,0,,,,,
120,Selfdestruct,Causes the user to faint.,Normal,Physical,200,100%,,,,
121,Egg Bomb,Deals damage with no additional effect.,Normal,Physical,100,75%,,,,
122,Lick,Has a 30% chance to paralyze the target.,Ghost,Status,20,100%,PARALYZE,10%,,
124,Sludge,Has a 30% chance to poison the target.,Poison,Status,65,100%,POISON,30%,,
126,Fire Blast,Has a 10% chance to burn the target.,Fire,Status,120,85%,BURN,10%,,
127,Waterfall,Has a 20% chance to make the target flinch.,Water,Status,80,100%,FLINCH,20%,,
129,Swift,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Normal,Special,60,101%,,,,
131,Spike Cannon,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Normal,Physical,20,100%,,,,
136,Hi Jump Kick,If this attack misses the target the user half of its max health in recoil damage.,Fighting,Physical,130,90%,,,,
141,Leech Life,Restores the user's HP by 1/2 of the damage inflicted on the target.,Bug,Physical,20,100%,,,,
146,Dizzy Punch,Has a 20% chance to confuse the target.,Normal,Status,70,100%,CONFUSE,20%,,
152,Crabhammer,Has a high critical hit ratio.,Water,Physical,90,90%,,,,
154,Fury Swipes,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Normal,Physical,18,80%,,,,
155,Bonemerang,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit.,Ground,Physical,50,90%,,,,
157,Rock Slide,Has a 30% chance to make the target flinch.,Rock,Status,75,90%,FLINCH,30%,,
158,Hyper Fang,Has a 10% chance to make the target flinch.,Normal,Status,80,90%,FLINCH,10%,,
161,Tri Attack,Has a 20% chance to burn paralyze or freeze the target.,Normal,Status,80,100%,TRIATTACK,20%,,
162,Super Fang,This move halves the target's current HP.,Normal,Physical,50,90%,,,,
163,Slash,Has a high critical hit ratio.,Normal,Physical,70,100%,,,,
168,Thief,Steals the target's held item unless the user is already holding an item or the target has Sticky Hold or Multitype. A stolen item cannot be recovered by using Recycle.,Dark,Physical,40,100%,,,,
172,Flame Wheel,Has a 10% chance to burn the target; can be used while frozen which both attacks the target normally and thaws the user.,Fire,Status,60,100%,BURN,10%,,
175,Flail,Base power increases as the user's HP decreases.,Normal,Physical,50,100%,,,,
183,Mach Punch,Usually goes first.,Fighting,Physical,40,100%,,,,
184,Scary Face,Lowers the target's Speed by 2 stages.,Normal,s-,0,90%,,,T,100%
185,Faint Attack,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Dark,Physical,60,101%,,,,
188,Sludge Bomb,Has a 30% chance to poison the target.,Poison,Status,90,100%,POISON,30%,,
189,Mud-Slap,Has a 30% chance to lower the target's Accuracy by 1 stage.,Ground,Special,20,100%,,,,
192,Zap Cannon,Paralyzes the target.,Electric,Status,120,50%,PARALYZE,100%,,
196,Icy Wind,Lowers the target's Speed by 1 stage.,Ice,s-,55,95%,,,T,100%
200,Outrage,The user attacks uncontrollably for 2-3 turns and then gets confused.,Dragon,Physical,120,100%,,,,
202,Giga Drain,Restores the user's HP by 1/2 of the damage inflicted on the target.,Grass,hp+,75,100%,,,U,100%
205,Rollout,The user attacks uncontrollably for five turns; this move's power doubles after each turn and also if Defense Curl was used beforehand. Its power resets after five turns have ended or if the attack misses.,Rock,Physical,30,90%,,,,
209,Spark,Has a 30% chance to paralyze the target.,Electric,Status,65,100%,PARALYZE,30%,,
210,Fury Cutter,The base power of this move doubles with each consecutive hit; however power is capped at a maximum 160 BP and remains there for any subsequent uses. If this move misses base power will be reset to 10 BP on the next turn. The user can also select other attacks without resetting this move's power; it will continue to double after each use until it either misses or reaches the 160 BP cap.,Bug,Physical,20,95%,,,,
211,Steel Wing,Has a 10% chance to raise the user's Defense by 1 stage.,Steel,d+,70,90%,,,U,10%
216,Return,Power increases as user's happiness increases; maximum 102 BP.,Normal,Physical,50,100%,,,,
218,Frustration,Power increases as user's happiness decreases; maximum 102 BP.,Normal,Physical,50,100%,,,,
223,DynamicPunch,Confuses the target.,Fighting,Status,100,50%,CONFUSE,100%,,
225,DragonBreath,Has a 30% chance to paralyze the target.,Dragon,Status,60,100%,PARALYZE,30%,,
228,Pursuit,If the target switches out on the current turn this move strikes with doubled power before the switch. Baton Passers still escape safely. When a faster Pokemon uses Pursuit against a U-Turner the U-Turner is hit for normal damage; when a slower Pokemon uses Pursuit against a U-Turner the U-Turner makes its attack then is hit by Pursuit for double power and switches out.,Dark,Physical,80,100%,,,,
229,Rapid Spin,Removes Spikes Stealth Rock Toxic Spikes and Leech Seed from the user's side of the field; also frees the user from Bind Clamp Fire Spin Magma Storm Sand Tomb Whirlpool and Wrap. These effects do not occur if the move misses or is used against Ghost-type Pokemon.,Normal,Physical,20,100%,,,,
231,Iron Tail,Has a 30% chance to lower the target's Defense by 1 stage.,Steel,d-,100,75%,,,T,10%
238,Cross Chop,Has a high critical hit ratio.,Fighting,Physical,100,80%,,,,
239,Twister,Has a 20% chance to make the target flinch; power doubles while the target is in mid-air via Fly or Bounce.,Dragon,Special,40,100%,FLINCH,20%,,
241,Sunny Day,Cancels all other weather moves. For 5 turns: freezing is prevented the power of Fire attacks is increased by 50% the power of Water attacks is decreased by 50% Solarbeam fires immediately Thunder becomes 50% accurate and the healing power of Morning Sun Synthesis and Moonlight is increased from 1/2 to 2/3 of the user's max HP. The effects of Sunny Day will last for eight turns if its user is holding Heat Rock.,Fire,Status,0,,,,,
242,Crunch,Has a 20% chance to lower the target's Defense by 1 stage.,Dark,Physical,80,100%,,,,
245,ExtremeSpeed,Usually goes first.,Normal,Physical,80,100%,,,,
246,AncientPower,Has a 10% chance to raise all of the user's stats by 1 stage.,Rock,all+,60,100%,,,U,10%
247,Shadow Ball,Has a 20% chance to lower the target's Special Defense by 1 stage.,Ghost,sd-,80,100%,,,T,20%
249,Rock Smash,Has a 50% chance to lower the target's Defense by 1 stage.,Fighting,d-,40,100%,,,T,50%
280,Brick Break,Reflect and Light Screen are removed from the target's field even if the attack misses or the target is a Ghost-type.,Fighting,Physical,75,100%,,,,
314,Air Cutter,Has a high critical hit ratio.,Flying,Special,55,95%,,,,
315,Overheat,Lowers the user's Special Attack by 2 stages after use.,Fire,sa-,140,90%,,,U,100%
332,Aerial Ace,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Flying,Physical,60,101%,,,,
351,Shock Wave,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.,Electric,Special,60,101%,,,,